customerID,tenure,MonthlyCharges,TotalCharges,gender_Male,SeniorCitizen_Yes,Partner_Yes,Dependents_Yes,PhoneService_Yes,MultipleLines_Yes,InternetService_Fiber optic,InternetService_No,OnlineSecurity_Yes,OnlineBackup_Yes,DeviceProtection_Yes,TechSupport_Yes,StreamingTV_Yes,StreamingMovies_Yes,Contract_Biannual,Contract_Monthly,PaperlessBilling_Yes,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,Churn_Yes
3841-NFECX,71,96.35,6766.95,0,1,1,0,1,1,1,0,1,1,1,1,0,0,1,0,1,1,0,0,0
4929-XIHVW,2,95.5,181.65,1,1,1,0,1,0,1,0,0,0,1,0,1,1,0,1,1,1,0,0,0
6827-IEAUQ,27,66.15,1874.45,0,0,1,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0
7310-EGVHZ,1,20.2,20.2,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
3413-BMNZE,1,45.25,45.25,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
6234-RAAPL,72,99.9,7251.7,0,0,1,1,1,1,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0
6047-YHPVI,5,69.7,316.9,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1
6572-ADKRS,46,74.8,3548.3,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0
5380-WJKOV,34,106.35,3549.25,1,0,0,0,1,1,1,0,0,1,1,0,1,1,0,1,1,0,1,0,1
8168-UQWWF,11,97.85,1105.4,0,0,0,0,1,1,1,0,0,0,1,0,1,1,0,1,1,0,0,0,1
8865-TNMNX,10,49.55,475.7,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
9489-DEDVP,70,69.2,4872.35,0,0,1,1,1,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,0
9867-JCZSP,17,20.75,418.25,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
4671-VJLCL,63,79.85,4861.45,0,0,0,0,1,1,0,0,1,1,1,1,1,0,1,0,1,1,0,0,0
4080-IIARD,13,76.2,981.45,0,0,1,0,1,1,0,0,1,1,0,1,1,0,0,1,1,0,1,0,0
3714-NTNFO,49,84.5,3906.7,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,0
5948-UJZLF,2,49.25,97.0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
7760-OYPDY,2,80.65,144.15,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0,1
7639-LIAYI,52,79.75,4217.8,1,0,0,0,1,1,0,0,1,0,0,1,1,1,1,0,1,1,0,0,0
2954-PIBKO,69,64.15,4254.1,0,0,1,1,1,1,0,0,1,0,1,1,0,0,1,0,1,1,0,0,0
8012-SOUDQ,43,90.25,3838.75,0,1,0,0,1,1,1,0,0,1,0,0,1,0,0,1,1,0,1,0,0
9420-LOJKX,15,99.1,1426.4,0,0,0,0,1,0,1,0,1,1,0,0,1,1,0,1,1,1,0,0,1
6575-SUVOI,25,69.5,1752.65,0,1,1,0,1,1,0,0,1,0,0,1,1,0,0,1,1,1,0,0,0
7495-OOKFY,8,80.65,633.3,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0,1,1,1,0,0,1
4667-QONEA,60,74.85,4456.35,0,1,1,1,1,0,0,0,1,1,1,1,0,1,0,0,1,1,0,0,0
1658-BYGOY,18,95.45,1752.55,1,1,0,0,1,1,1,0,0,0,0,0,1,1,0,1,1,0,1,0,1
8769-KKTPH,63,99.65,6311.2,0,0,1,1,1,1,1,0,1,0,0,0,1,1,0,0,1,1,0,0,0
5067-XJQFU,66,108.45,7076.35,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,0,1,0,1,0,0
3957-SQXML,34,24.95,894.3,0,0,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
5954-BDFSG,72,107.5,7853.7,0,0,0,0,1,1,1,0,0,0,1,1,1,1,1,0,1,1,0,0,0
0434-CSFON,47,100.5,4707.1,0,0,1,0,1,1,1,0,0,0,1,0,1,1,0,1,1,0,1,0,0
1215-FIGMP,60,89.9,5450.7,1,0,0,0,1,1,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0
0526-SXDJP,72,42.1,2962.0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0
0557-ASKVU,18,54.4,957.1,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0
5698-BQJOH,9,94.4,857.25,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,1,0,0,1,0,1
5122-CYFXA,3,75.3,244.1,0,0,0,0,1,0,0,0,0,1,0,1,1,1,0,1,1,0,1,0,0
8627-ZYGSZ,47,78.9,3650.35,1,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0
3410-YOQBQ,31,79.2,2497.2,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,0
3170-NMYVV,50,20.15,930.9,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
7410-OIEDU,10,79.85,887.35,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,1,0,0,1,0
2273-QCKXA,1,49.05,49.05,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
0731-EBJQB,52,20.4,1090.65,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
1891-QRQSA,64,111.6,7099.0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0,1,0,0,0,0
8028-PNXHQ,62,24.25,1424.6,1,0,1,1,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0
5630-AHZIL,3,64.5,177.4,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,1,1,0,0,0,0
2673-CXQEU,56,110.5,6139.5,0,1,0,0,1,1,1,0,1,1,1,0,1,1,0,0,0,0,1,0,0
6416-JNVRK,46,55.65,2688.85,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
5590-ZSKRV,8,54.65,482.25,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0
0191-ZHSKZ,30,74.75,2111.3,1,1,0,0,1,0,0,0,1,1,0,0,1,1,0,1,1,0,1,0,0
3887-PBQAO,45,25.9,1216.6,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
5919-TMRGD,1,79.35,79.35,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0,1
8108-UXRQN,11,50.55,565.35,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0
9191-MYQKX,7,75.15,496.9,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1
9919-YLNNG,42,103.8,4327.5,0,0,0,0,1,0,1,0,0,1,1,1,1,1,0,1,1,0,0,0,0
0318-ZOPWS,49,20.15,973.35,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0
4445-ZJNMU,9,99.3,918.75,1,0,0,0,1,1,1,0,0,1,0,0,1,1,0,1,1,1,0,0,0
4808-YNLEU,35,62.15,2215.45,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
1862-QRWPE,48,20.65,1057.0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
2796-NNUFI,46,19.95,927.1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0
3016-KSVCP,29,33.75,1009.25,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
4767-HZZHQ,30,82.05,2570.2,1,0,1,1,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0
2424-WVHPL,1,74.7,74.7,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0
7233-PAHHL,66,84.0,5714.25,1,0,1,1,1,1,0,0,1,0,1,1,1,1,1,0,1,0,0,1,0
6067-NGCEU,65,111.05,7107.0,0,0,0,0,1,1,1,0,1,1,1,0,1,1,0,1,1,1,0,0,0
9848-JQJTX,72,100.9,7459.05,1,0,0,0,1,1,1,0,0,1,1,0,1,1,1,0,1,0,0,0,0
8637-XJIVR,12,78.95,927.35,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,1,0,1,0,1
9803-FTJCG,71,66.85,4748.7,1,0,1,1,1,1,0,0,1,1,0,1,0,0,0,0,1,1,0,0,0
0278-YXOOG,5,21.05,113.85,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1
3212-KXOCR,52,21.0,1107.2,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
4598-XLKNJ,25,98.5,2514.5,0,1,1,0,1,0,1,0,0,1,1,0,1,1,0,1,1,0,1,0,1
6380-ARCEH,1,20.2,20.2,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
3679-XASPY,1,19.45,19.45,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
7123-WQUHX,38,95.0,3605.6,1,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0
5386-THSLQ,66,45.55,3027.25,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0
3192-NQECA,68,110.0,7611.85,1,0,1,0,1,1,1,0,0,1,1,1,1,1,1,0,1,0,0,0,1
6180-YBIQI,5,24.3,100.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
6728-DKUCO,72,104.15,7303.05,0,0,1,1,1,1,1,0,1,1,0,0,1,1,0,0,1,0,1,0,0
9750-BOOHV,32,30.15,927.65,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
8597-CWYHH,43,94.35,3921.3,1,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0
2848-YXSMW,72,19.4,1363.25,1,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
0486-HECZI,55,96.75,5238.9,1,0,1,0,1,1,1,0,1,1,0,0,1,0,0,1,1,0,1,0,1
4549-ZDQYY,52,57.95,3042.25,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0
5712-AHQNN,43,91.65,3954.1,0,0,0,0,1,0,1,0,0,1,1,0,1,0,0,1,1,0,1,0,0
4846-WHAFZ,37,76.5,2868.15,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1
5256-SKJGO,64,54.6,3423.5,0,0,1,1,0,0,0,0,0,1,0,1,1,1,1,0,1,0,1,0,0
3071-VBYPO,3,89.85,248.4,1,0,1,1,1,0,1,0,1,1,0,0,1,0,0,1,0,0,1,0,0
9560-BBZXK,36,31.05,1126.35,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
5299-RULOA,10,100.25,1064.65,0,0,1,1,1,1,1,0,1,0,0,0,1,1,0,1,1,0,1,0,1
8402-OOOHJ,41,20.65,835.15,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
9445-ZUEQE,27,85.2,2151.6,1,0,1,1,1,1,1,0,0,1,0,1,0,0,0,1,1,1,0,0,0
1091-SOZGA,56,99.8,5515.45,0,0,1,1,1,1,1,0,0,0,1,0,1,1,0,0,1,1,0,0,0
2928-HLDBA,6,20.7,112.75,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
0404-SWRVG,3,74.4,229.55,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1
6497-TILVL,7,50.7,350.35,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
7219-TLZHO,4,20.85,62.9,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
4622-YNKIJ,33,88.95,3027.65,1,0,0,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,0
4412-YLTKF,27,78.05,2135.5,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,1,1,0,1,0,1
6734-PSBAW,72,23.55,1723.95,1,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0
3930-ZGWVE,1,19.75,19.75,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
2639-UGMAZ,71,56.45,3985.35,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1,0,0
2876-GZYZC,13,85.95,1215.65,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,0
6207-WIOLX,25,58.6,1502.65,0,0,1,1,0,0,0,0,1,1,1,0,1,1,0,1,1,1,0,0,1
8587-XYZSF,67,50.55,3260.1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
3091-FYHKI,1,35.45,35.45,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1
2372-HWUHI,2,44.35,81.25,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
7799-LGRDP,43,25.7,1188.2,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0
7850-VWJUU,23,75.0,1778.5,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0
3774-VBNXY,64,20.2,1277.75,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
6217-KDYWC,57,19.6,1170.55,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0
0390-DCFDQ,1,70.45,70.45,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1
3146-MSEGF,72,88.05,6425.65,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,1,1,0,0,0
4080-OGPJL,8,71.15,563.65,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0,1,0,0,1,0,1
1095-WGNGG,61,101.05,5971.25,0,0,1,0,1,1,1,0,0,1,0,0,1,1,1,0,1,0,0,0,0
2636-SJDOU,64,84.3,5289.05,1,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0
1131-QQZEB,71,23.95,1756.2,1,1,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
5716-EZXZN,65,99.05,6416.7,0,0,1,1,1,1,1,0,1,1,0,1,1,0,1,0,1,1,0,0,0
6837-BJYDQ,3,19.6,61.35,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2135-RXIHG,1,45.65,45.65,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1
6440-DKQGE,30,64.5,1929.95,1,0,0,1,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0
3466-BYAVD,15,69.5,1071.4,1,0,1,1,1,0,0,0,0,1,1,1,0,1,0,1,1,0,0,1,0
3780-YVMFA,8,68.55,564.35,0,0,1,1,1,0,0,0,0,0,0,1,1,1,0,1,1,0,1,0,0
3874-EQOEP,7,95.0,655.5,1,0,0,0,1,1,1,0,0,0,0,0,1,1,0,1,0,0,0,1,1
1679-JRFBR,70,108.15,7930.55,0,0,1,1,1,1,1,0,1,1,1,0,1,1,0,0,1,1,0,0,0
9073-ZZIAY,62,86.1,5215.25,1,0,1,1,1,0,0,0,1,1,1,1,1,1,1,0,0,0,1,0,0
3077-RSNTJ,6,19.7,113.5,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
6551-GNYDG,14,80.9,1152.8,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0
9167-APMXZ,22,84.15,1821.95,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0
2749-CTKAJ,22,20.15,419.9,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
6371-NZYEG,16,64.25,1024.0,1,0,1,1,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0
7554-NEWDD,10,25.7,251.6,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
8992-VONJD,13,56.0,764.55,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,1,0,1,0,0
0867-MKZVY,20,82.4,1592.35,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1
4482-EWFMI,2,69.7,135.2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0
4648-YPBTM,53,73.9,3958.25,1,0,0,0,1,1,0,0,0,1,1,1,0,1,1,0,1,0,0,0,0
2907-ILJBN,11,20.6,233.9,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
6345-FZOQH,69,19.9,1363.45,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
3376-BMGFE,4,70.9,273.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1
5997-OPVFA,72,89.05,6254.45,1,0,1,0,1,1,0,0,1,1,1,1,1,1,1,0,1,0,0,0,0
3445-HXXGF,58,45.3,2651.2,1,1,1,0,0,0,0,0,0,1,1,0,0,1,0,1,1,0,1,0,1
1159-WFSGR,16,20.4,321.4,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
7654-YWJUF,43,84.25,3539.25,1,0,1,0,1,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0
1875-QIVME,2,104.4,242.8,0,0,1,0,1,1,1,0,0,0,1,1,1,1,0,1,1,0,1,0,1
6727-IOTLZ,14,81.95,1181.75,1,0,1,0,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,0
0691-JVSYA,53,94.85,5000.2,0,0,1,0,1,0,1,0,0,0,1,0,1,1,0,0,1,0,0,0,1
5918-VUKWP,32,20.55,654.55,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1744-JHKYS,34,24.7,780.2,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
2656-FMOKZ,15,74.45,1145.7,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1
2070-FNEXE,7,76.45,503.6,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1
5947-SGKCL,15,105.35,1559.25,0,0,1,1,1,1,1,0,0,1,1,0,1,1,0,1,1,0,0,0,0
3712-PKXZA,61,20.55,1252.0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
6317-YPKDH,1,29.95,29.95,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
6582-OIVSP,1,45.3,45.3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
9367-WXLCH,8,84.5,662.65,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1
5524-KHNJP,33,74.75,2453.3,1,0,1,1,1,0,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0
1918-ZBFQJ,13,79.25,1111.65,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,1,0,1,0,1
1024-GUALD,1,24.8,24.8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1
4827-USJHP,20,51.8,1023.85,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0
8167-GJLRN,3,30.4,82.15,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0
0956-SYCWG,13,19.65,244.8,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
8017-UVSZU,40,56.6,2379.1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
7100-FQPRV,43,71.9,3173.35,1,0,1,1,1,1,0,0,1,0,0,1,0,1,0,0,1,1,0,0,0
2472-OVKUP,6,91.0,531.0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,0,1,1,0,1,0,1
2984-RGEYA,69,19.75,1375.4,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
9680-NIAUV,72,109.7,8129.3,0,0,1,1,1,1,1,0,1,1,1,0,1,1,1,0,0,1,0,0,0
2146-EGVDT,59,19.3,1192.7,1,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
2604-IJPDU,20,96.55,1901.65,0,0,1,0,1,0,1,0,1,1,0,1,1,0,0,1,1,0,1,0,0
9178-JHUVJ,24,24.1,587.4,1,0,1,1,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0
6168-YBYNP,59,111.35,6519.75,1,0,0,0,1,1,1,0,0,1,1,1,1,1,0,1,1,0,1,0,0
7255-SSFBC,72,112.25,8041.65,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,0,1,0,0,0,0
3645-DEYGF,1,20.75,20.75,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
9323-HGFWY,27,101.9,2681.15,0,0,1,0,1,0,1,0,1,0,0,1,1,1,0,0,1,1,0,0,0
8544-GOQSH,14,80.05,1112.3,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,1,1,0,0,0
3363-DTIVD,71,105.55,7405.5,1,0,1,1,1,1,1,0,1,0,1,0,1,1,1,0,0,0,1,0,0
7018-WBJNK,13,78.3,1033.95,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,1,1,1,0,0,0
9142-KZXOP,44,68.85,2958.95,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
7674-YTAFD,33,79.95,2684.85,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0
6348-SNFUS,72,55.45,4179.2,1,0,1,1,0,0,0,0,1,1,1,1,0,1,1,0,1,1,0,0,0
1285-OKIPP,1,79.9,79.9,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1
7825-ECJRF,19,106.6,1934.45,0,0,0,0,1,0,1,0,1,0,1,1,1,1,0,1,1,0,1,0,1
1347-KTTTA,64,102.45,6654.1,1,0,1,0,1,0,1,0,0,1,1,1,1,1,0,0,1,1,0,0,0
7841-TZDMQ,2,46.0,84.5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1
4195-NZGTA,1,25.25,25.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
7157-SMCFK,61,19.75,1124.2,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
4709-LKHYG,29,20.0,540.05,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
2504-DSHIH,23,86.8,1975.85,1,1,1,0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0
0699-NDKJM,57,58.75,3437.45,0,0,1,0,0,0,0,0,1,1,1,0,1,1,0,1,1,0,0,0,0
9286-BHDQG,72,45.25,3139.8,1,0,1,1,0,0,0,0,1,1,1,1,0,0,1,0,0,1,0,0,0
0230-WEQUW,66,56.6,3789.2,1,0,1,0,0,0,0,0,1,1,1,1,1,0,1,0,1,0,0,0,0
